asset_type,parent_name,pos_x,pos_y,pos_z,block_num,trial_num,block_task,block_hand,target_loc,distractor_loc
Marker,square,0.2767084836959839,0.020857300609350204,0.1841564178466797,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.3213323950767517,0.0209677591919899,0.20325490832328796,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.33107396960258484,0.020959924906492233,0.17296309769153595,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.29137519001960754,0.021371187642216682,0.14788854122161865,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.2767084836959839,0.020857300609350204,0.1841564178466797,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.3213323950767517,0.0209677591919899,0.20325490832328796,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.33107396960258484,0.020959924906492233,0.17296309769153595,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.29137519001960754,0.021371187642216682,0.14788854122161865,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.27670925855636597,0.02085472084581852,0.184156596660614,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.3213322162628174,0.020968403667211533,0.2032521516084671,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.33107537031173706,0.02095232717692852,0.17296388745307922,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.2913767993450165,0.02137547731399536,0.14789143204689026,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.27670925855636597,0.02085472084581852,0.184156596660614,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.3213322162628174,0.020968403667211533,0.2032521516084671,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.33107537031173706,0.02095232717692852,0.17296388745307922,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.2913767993450165,0.02137547731399536,0.14789143204689026,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.2767064869403839,0.02086387388408184,0.18416427075862884,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.3213363587856293,0.020973671227693558,0.20326009392738342,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.3310718238353729,0.020962845534086227,0.17296850681304932,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.2913928031921387,0.021367518231272697,0.14785519242286682,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.2767064869403839,0.02086387388408184,0.18416427075862884,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.3213363587856293,0.020973671227693558,0.20326009392738342,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.3310718238353729,0.020962845534086227,0.17296850681304932,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.2913928031921387,0.021367518231272697,0.14785519242286682,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.27670028805732727,0.02085890620946884,0.18416860699653625,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.32133421301841736,0.020973874256014824,0.20325858891010284,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.33107253909111023,0.02096398174762726,0.17296572029590607,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.29137077927589416,0.021366095170378685,0.14791414141654968,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.27670028805732727,0.02085890620946884,0.18416860699653625,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.32133421301841736,0.020973874256014824,0.20325858891010284,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.33107253909111023,0.02096398174762726,0.17296572029590607,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.29137077927589416,0.021366095170378685,0.14791414141654968,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.2767048180103302,0.02086411602795124,0.1841629147529602,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.3213338255882263,0.020971685647964477,0.2032521814107895,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.33107465505599976,0.02095641754567623,0.1729678213596344,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.2913735806941986,0.021371766924858093,0.14789219200611114,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.2767048180103302,0.02086411602795124,0.1841629147529602,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.3213338255882263,0.020971685647964477,0.2032521814107895,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.33107465505599976,0.02095641754567623,0.1729678213596344,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.2913735806941986,0.021371766924858093,0.14789219200611114,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.27670907974243164,0.02086067758500576,0.1841624081134796,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.3213322162628174,0.020970096811652183,0.20325563848018646,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.3310755789279938,0.020960548892617226,0.17296254634857178,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.2913990318775177,0.021364523097872734,0.14784769713878632,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.27670907974243164,0.02086067758500576,0.1841624081134796,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.3213322162628174,0.020970096811652183,0.20325563848018646,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.3310755789279938,0.020960548892617226,0.17296254634857178,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.2913990318775177,0.021364523097872734,0.14784769713878632,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.2767122685909271,0.020857634022831917,0.18416257202625275,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.3213338851928711,0.020979393273591995,0.20326100289821625,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.33107584714889526,0.020955771207809448,0.17296139895915985,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.2913762331008911,0.021373553201556206,0.1478920429944992,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.2767122685909271,0.020857634022831917,0.18416257202625275,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.3213338851928711,0.020979393273591995,0.20326100289821625,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.33107584714889526,0.020955771207809448,0.17296139895915985,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,all,0.2913762331008911,0.021373553201556206,0.1478920429944992,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Marker,square,0.2767042815685272,0.02086235024034977,0.18416181206703186,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.3213348686695099,0.02097446657717228,0.2032635360956192,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.3310759961605072,0.02095814049243927,0.17296552658081055,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.2913913428783417,0.021377529948949814,0.147871732711792,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.2767042815685272,0.02086235024034977,0.18416181206703186,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.3213348686695099,0.02097446657717228,0.2032635360956192,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.3310759961605072,0.02095814049243927,0.17296552658081055,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.2913913428783417,0.021377529948949814,0.147871732711792,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.2766953110694885,0.020857026800513267,0.18416841328144073,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.32133573293685913,0.0209834985435009,0.2032650262117386,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.33107268810272217,0.020959915593266487,0.17296883463859558,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.2913649082183838,0.021366525441408157,0.1479165405035019,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.2766953110694885,0.020857026800513267,0.18416841328144073,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.32133573293685913,0.0209834985435009,0.2032650262117386,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.33107268810272217,0.020959915593266487,0.17296883463859558,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.2913649082183838,0.021366525441408157,0.1479165405035019,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.2767038345336914,0.020861834287643433,0.1841673105955124,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.3213286101818085,0.020976446568965912,0.20326411724090576,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.33107414841651916,0.020963184535503387,0.17296937108039856,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.2913750112056732,0.021385500207543373,0.14790520071983337,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.2767038345336914,0.020861834287643433,0.1841673105955124,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.3213286101818085,0.020976446568965912,0.20326411724090576,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.33107414841651916,0.020963184535503387,0.17296937108039856,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.2913750112056732,0.021385500207543373,0.14790520071983337,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.2767047882080078,0.020862454548478126,0.18415892124176025,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.3213313817977905,0.020975762978196144,0.2032591849565506,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.3310781419277191,0.020961632952094078,0.1729712039232254,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.291391521692276,0.021374216303229332,0.1478680670261383,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.2767047882080078,0.020862454548478126,0.18415892124176025,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.3213313817977905,0.020975762978196144,0.2032591849565506,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.3310781419277191,0.020961632952094078,0.1729712039232254,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.291391521692276,0.021374216303229332,0.1478680670261383,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.27669772505760193,0.0208567101508379,0.18416959047317505,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.32134270668029785,0.020977646112442017,0.20326510071754456,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.33107683062553406,0.02096470817923546,0.172972172498703,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.2913908064365387,0.021375827491283417,0.14786683022975922,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.27669772505760193,0.0208567101508379,0.18416959047317505,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.32134270668029785,0.020977646112442017,0.20326510071754456,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.33107683062553406,0.02096470817923546,0.172972172498703,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.2913908064365387,0.021375827491283417,0.14786683022975922,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.2767045497894287,0.02086368203163147,0.18416191637516022,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.32133156061172485,0.020976398140192032,0.20326431095600128,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.3310735821723938,0.020969826728105545,0.17297132313251495,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.2913769483566284,0.021381529048085213,0.14790554344654083,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.2767045497894287,0.02086368203163147,0.18416191637516022,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.32133156061172485,0.020976398140192032,0.20326431095600128,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.3310735821723938,0.020969826728105545,0.17297132313251495,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.2913769483566284,0.021381529048085213,0.14790554344654083,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.27670949697494507,0.020867643877863884,0.18416567146778107,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.3213292956352234,0.02097759209573269,0.20326681435108185,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.3310695290565491,0.020962178707122803,0.1729719638824463,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.2913792133331299,0.02138594351708889,0.1479049175977707,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.27670949697494507,0.020867643877863884,0.18416567146778107,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.3213292956352234,0.02097759209573269,0.20326681435108185,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.3310695290565491,0.020962178707122803,0.1729719638824463,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,all,0.2913792133331299,0.02138594351708889,0.1479049175977707,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Marker,square,0.2767013609409332,0.020866282284259796,0.18416719138622284,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.32133105397224426,0.0209736917167902,0.20325902104377747,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.3310754895210266,0.020961521193385124,0.17296655476093292,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.2913954555988312,0.0213664248585701,0.14784787595272064,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.2767013609409332,0.020866282284259796,0.18416719138622284,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.32133105397224426,0.0209736917167902,0.20325902104377747,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.3310754895210266,0.020961521193385124,0.17296655476093292,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.2913954555988312,0.0213664248585701,0.14784787595272064,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.2767082154750824,0.020867280662059784,0.18416686356067657,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.3213333189487457,0.0209734495729208,0.20326364040374756,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.33107367157936096,0.02096170000731945,0.17297445237636566,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.2913784682750702,0.021373892202973366,0.1478903889656067,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.2767082154750824,0.020867280662059784,0.18416686356067657,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.3213333189487457,0.0209734495729208,0.20326364040374756,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.33107367157936096,0.02096170000731945,0.17297445237636566,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.2913784682750702,0.021373892202973366,0.1478903889656067,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.2767101228237152,0.020864689722657204,0.1841607689857483,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.32133400440216064,0.020973466336727142,0.20326347649097443,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.3310762941837311,0.020957937464118004,0.17296862602233887,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.2913927435874939,0.021375460550189018,0.14787311851978302,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.2767101228237152,0.020864689722657204,0.1841607689857483,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.32133400440216064,0.020973466336727142,0.20326347649097443,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.3310762941837311,0.020957937464118004,0.17296862602233887,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.2913927435874939,0.021375460550189018,0.14787311851978302,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.27670401334762573,0.02086365781724453,0.18416543304920196,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.3213356137275696,0.020977698266506195,0.2032594382762909,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.33107489347457886,0.020967217162251472,0.17296984791755676,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.2913762331008911,0.02138214372098446,0.1479041576385498,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.27670401334762573,0.02086365781724453,0.18416543304920196,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.3213356137275696,0.020977698266506195,0.2032594382762909,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.33107489347457886,0.020967217162251472,0.17296984791755676,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.2913762331008911,0.02138214372098446,0.1479041576385498,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.2767025828361511,0.020852331072092056,0.18417343497276306,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.3213350176811218,0.02098126895725727,0.2032703161239624,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.3310738503932953,0.02096213772892952,0.17296695709228516,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.291367769241333,0.021365026012063026,0.1479131132364273,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.2767025828361511,0.020852331072092056,0.18417343497276306,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.3213350176811218,0.02098126895725727,0.2032703161239624,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.3310738503932953,0.02096213772892952,0.17296695709228516,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.291367769241333,0.021365026012063026,0.1479131132364273,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.2767121195793152,0.020864801481366157,0.18416665494441986,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.3213377296924591,0.02097953110933304,0.20326854288578033,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.33107346296310425,0.02096431329846382,0.1729738563299179,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.29139286279678345,0.021369678899645805,0.14785712957382202,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.2767121195793152,0.020864801481366157,0.18416665494441986,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.3213377296924591,0.02097953110933304,0.20326854288578033,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.33107346296310425,0.02096431329846382,0.1729738563299179,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,all,0.29139286279678345,0.021369678899645805,0.14785712957382202,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Marker,square,0.2767062187194824,0.02085820958018303,0.18416844308376312,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.3213309943675995,0.020969554781913757,0.2032674252986908,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.33107390999794006,0.020963041111826897,0.17296437919139862,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.2913736402988434,0.021384764462709427,0.14791028201580048,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.2767062187194824,0.02085820958018303,0.18416844308376312,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.3213309943675995,0.020969554781913757,0.2032674252986908,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.33107390999794006,0.020963041111826897,0.17296437919139862,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.2913736402988434,0.021384764462709427,0.14791028201580048,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.27671143412590027,0.02085770107805729,0.18416479229927063,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.32133540511131287,0.020973259583115578,0.20326712727546692,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.33107489347457886,0.02095952257514,0.17296931147575378,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.29137760400772095,0.021386362612247467,0.1479114294052124,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.27671143412590027,0.02085770107805729,0.18416479229927063,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.32133540511131287,0.020973259583115578,0.20326712727546692,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.33107489347457886,0.02095952257514,0.17296931147575378,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.29137760400772095,0.021386362612247467,0.1479114294052124,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.2767043709754944,0.020858915522694588,0.1841602474451065,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.32133665680885315,0.02096906490623951,0.20326395332813263,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.33106935024261475,0.02095543034374714,0.17296691238880157,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.2913914620876312,0.021373672410845756,0.14786569774150848,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.2767043709754944,0.020858915522694588,0.1841602474451065,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.32133665680885315,0.02096906490623951,0.20326395332813263,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.33106935024261475,0.02095543034374714,0.17296691238880157,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.2913914620876312,0.021373672410845756,0.14786569774150848,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.2767085134983063,0.020868729799985886,0.1841707080602646,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.3213368356227875,0.02097495086491108,0.2032569795846939,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.33107537031173706,0.020956745371222496,0.17297036945819855,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.2913956344127655,0.02137412317097187,0.147865429520607,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.2767085134983063,0.020868729799985886,0.1841707080602646,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
