asset_type,frame_number,block_num,trial_num,block_task,block_hand,target_loc,distractor_loc
Prefix,2349723,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Prefix,2349724,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Prefix,2349725,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Prefix,2349726,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Prefix,2349727,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Prefix,2349728,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Prefix,2349729,1,1,Backhand,RightHand,Right-Target,Centre-Distractor
Prefix,2349756,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Prefix,2349757,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Prefix,2349758,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Prefix,2349759,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Prefix,2349760,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Prefix,2349761,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Prefix,2349762,1,2,Backhand,RightHand,Left-Target,Centre-Distractor
Prefix,2349787,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Prefix,2349788,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Prefix,2349789,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Prefix,2349790,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Prefix,2349791,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Prefix,2349792,1,3,Backhand,RightHand,Left-Target,Right-Distractor
Prefix,2349822,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Prefix,2349823,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Prefix,2349824,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Prefix,2349825,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Prefix,2349826,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Prefix,2349827,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Prefix,2349855,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Prefix,2349856,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Prefix,2349857,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Prefix,2349858,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Prefix,2349859,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Prefix,2349860,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Prefix,2349889,1,6,Backhand,RightHand,Centre-Target,Left-Distractor
Prefix,2349890,1,6,Backhand,RightHand,Centre-Target,Left-Distractor
Prefix,2349891,1,6,Backhand,RightHand,Centre-Target,Left-Distractor
Prefix,2349892,1,6,Backhand,RightHand,Centre-Target,Left-Distractor
Prefix,2349893,1,6,Backhand,RightHand,Centre-Target,Left-Distractor
Prefix,2349894,1,6,Backhand,RightHand,Centre-Target,Left-Distractor
Prefix,2349942,2,1,Backhand,LeftHand,Left-Target,Centre-Distractor
Prefix,2349943,2,1,Backhand,LeftHand,Left-Target,Centre-Distractor
Prefix,2349944,2,1,Backhand,LeftHand,Left-Target,Centre-Distractor
Prefix,2349945,2,1,Backhand,LeftHand,Left-Target,Centre-Distractor
Prefix,2349946,2,1,Backhand,LeftHand,Left-Target,Centre-Distractor
Prefix,2349947,2,1,Backhand,LeftHand,Left-Target,Centre-Distractor
Prefix,2349948,2,1,Backhand,LeftHand,Left-Target,Centre-Distractor
Prefix,2349977,2,2,Backhand,LeftHand,Centre-Target,Left-Distractor
Prefix,2349978,2,2,Backhand,LeftHand,Centre-Target,Left-Distractor
Prefix,2349979,2,2,Backhand,LeftHand,Centre-Target,Left-Distractor
Prefix,2349980,2,2,Backhand,LeftHand,Centre-Target,Left-Distractor
Prefix,2349981,2,2,Backhand,LeftHand,Centre-Target,Left-Distractor
Prefix,2349982,2,2,Backhand,LeftHand,Centre-Target,Left-Distractor
Prefix,2350011,2,3,Backhand,LeftHand,Left-Target,Right-Distractor
Prefix,2350012,2,3,Backhand,LeftHand,Left-Target,Right-Distractor
Prefix,2350013,2,3,Backhand,LeftHand,Left-Target,Right-Distractor
Prefix,2350014,2,3,Backhand,LeftHand,Left-Target,Right-Distractor
Prefix,2350015,2,3,Backhand,LeftHand,Left-Target,Right-Distractor
Prefix,2350016,2,3,Backhand,LeftHand,Left-Target,Right-Distractor
Prefix,2350047,2,4,Backhand,LeftHand,Right-Target,Left-Distractor
