asset_type ,asset_ID ,pos_x               ,pos_y                ,pos_z               ,rot_w                   ,rot_x                   ,rot_y                   ,rot_z              ,error                 ,tracking_validity ,block_num ,trial_num ,block_task ,block_hand ,target_loc    ,distractor_loc
RigidBody  ,       1 ,0.3051219880580902  ,0.0210390817373991   ,0.17706546187400818 ,-0.0003016736591234803  ,1.7026246496243402e-5   ,8.940531188272871e-6    ,1.0                ,1.365436583000701e-5  ,                1 ,        1 ,        1 ,Backhand   ,RightHand  ,Right-Target  ,Centre-Distractor
RigidBody  ,       1 ,0.30512291193008423 ,0.02103767730295658  ,0.17706552147865295 ,-0.00028228556038811803 ,2.0685791241703555e-5   ,-2.2118258129921742e-5  ,1.0                ,1.2436807992344256e-5 ,                1 ,        1 ,        1 ,Backhand   ,RightHand  ,Right-Target  ,Centre-Distractor
RigidBody  ,       1 ,0.3051268458366394  ,0.021041972562670708 ,0.1770620197057724  ,-0.0003923243493773043  ,-0.0001027491525746882  ,-5.4683150665368885e-6  ,1.0                ,1.4965479749662336e-5 ,                1 ,        1 ,        1 ,Backhand   ,RightHand  ,Right-Target  ,Centre-Distractor
RigidBody  ,       1 ,0.30512040853500366 ,0.021041227504611015 ,0.1770748794078827  ,-0.00038237497210502624 ,8.614906982984394e-5    ,4.6382097934838384e-5   ,1.0                ,1.9106828403891995e-5 ,                1 ,        1 ,        1 ,Backhand   ,RightHand  ,Right-Target  ,Centre-Distractor
RigidBody  ,       1 ,0.30512166023254394 ,0.021041318774223328 ,0.17706935107707977 ,-0.0003718732332345098  ,4.935202014166862e-5    ,-5.1387760322541e-5     ,1.0                ,1.3846429283148609e-5 ,                1 ,        1 ,        1 ,Backhand   ,RightHand  ,Right-Target  ,Centre-Distractor
RigidBody  ,       1 ,0.3051283359527588  ,0.021039413288235664 ,0.1770581603050232  ,-0.00038974834023974836 ,-0.00011992461077170447 ,-4.82691893921583e-6    ,1.0                ,1.6948515622061677e-5 ,                1 ,        1 ,        1 ,Backhand   ,RightHand  ,Right-Target  ,Centre-Distractor
RigidBody  ,       1 ,0.3051251471042633  ,0.02104153111577034  ,0.1770678162574768  ,-0.0003809232439380139  ,2.4580946046626195e-5   ,1.489656938247208e-6    ,1.0                ,1.04912123788381e-5   ,                1 ,        1 ,        1 ,Backhand   ,RightHand  ,Right-Target  ,Centre-Distractor
RigidBody  ,       1 ,0.30512669682502747 ,0.0210430845618248   ,0.17706525325775146 ,-0.0003244742110837251  ,-8.653142140246928e-5   ,-3.976174411945976e-5   ,1.0                ,1.0236139132757671e-5 ,                1 ,        1 ,        2 ,Backhand   ,RightHand  ,Left-Target   ,Centre-Distractor
RigidBody  ,       1 ,0.305117130279541   ,0.021041763946413994 ,0.17707958817481995 ,-0.0004441766068339348  ,0.00012091585085727274  ,5.645976489176974e-5    ,0.9999998807907104 ,1.7005781046464108e-5 ,                1 ,        1 ,        2 ,Backhand   ,RightHand  ,Left-Target   ,Centre-Distractor
RigidBody  ,       1 ,0.3051203787326813  ,0.021046768873929977 ,0.17707642912864685 ,-0.00024077147827483714 ,3.455323167145252e-5    ,5.091216621622152e-7    ,1.0                ,1.4000546798342839e-5 ,                1 ,        1 ,        2 ,Backhand   ,RightHand  ,Left-Target   ,Centre-Distractor
RigidBody  ,       1 ,0.30512645840644836 ,0.021043526008725166 ,0.17706434428691864 ,-0.0003457427374087274  ,-0.00012561510084196925 ,-5.251901711744722e-6   ,1.0                ,1.0898475011344999e-5 ,                1 ,        1 ,        2 ,Backhand   ,RightHand  ,Left-Target   ,Centre-Distractor
RigidBody  ,       1 ,0.30512702465057373 ,0.021043719723820686 ,0.17706841230392456 ,-0.0003068079240620136  ,-6.421082798624411e-5   ,6.964855856494978e-5    ,1.0                ,1.2126472938689403e-5 ,                1 ,        1 ,        2 ,Backhand   ,RightHand  ,Left-Target   ,Centre-Distractor
RigidBody  ,       1 ,0.3051222264766693  ,0.02104749344289303  ,0.17707528173923492 ,-0.0002596818667370826  ,7.014843049546471e-6    ,4.972763417754322e-5    ,1.0                ,1.6117481209221296e-5 ,                1 ,        1 ,        2 ,Backhand   ,RightHand  ,Left-Target   ,Centre-Distractor
RigidBody  ,       1 ,0.30512183904647827 ,0.02104835957288742  ,0.17707745730876923 ,-0.00027234607841819525 ,1.098422217182815e-5    ,-4.033028380945325e-5   ,1.0                ,1.443274140910944e-5  ,                1 ,        1 ,        2 ,Backhand   ,RightHand  ,Left-Target   ,Centre-Distractor
